query,total_exec_time,prop_exec_time,ncalls,sync_io_time
"select set_config('search_path', $1, true), set_config($2, $3, true), set_config('role', $4, true), set_config('request.jwt.claims', $5, true), set_config('request.method', $6, true), set_config('request.path', $7, true), set_config('request.headers', $8, true), set_config('request.cookies', $9, true)",00:00:00.568623,0.9%,"7,265",00:00:00
"WITH pgrst_source AS ( SELECT ""public"".""alerts"".* FROM ""public"".""alerts""  ORDER BY ""public"".""alerts"".""created_at"" DESC  LIMIT $1 OFFSET $2 )  SELECT $3::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $4) AS body, nullif(current_setting($5, $6), $7) AS response_headers, nullif(current_setting($8, $9), $10) AS response_status, $11 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",00:00:00.58275,0.9%,"3,169",00:00:00
SET client_encoding = 'UTF8',00:00:00.028808,0.0%,"3,164",00:00:00
SET client_min_messages TO WARNING,00:00:00.020274,0.0%,"3,164",00:00:00
BEGIN ISOLATION LEVEL READ COMMITTED READ ONLY,00:00:00.059689,0.1%,"3,160",00:00:00
COMMIT,00:00:00.003202,0.0%,"3,064",00:00:00
"WITH pgrst_source AS ( SELECT ""public"".""alerts"".* FROM ""public"".""alerts"" WHERE  ""public"".""alerts"".""is_read"" = $1   LIMIT $2 OFFSET $3 ) , pgrst_source_count AS (SELECT $5  FROM ""public"".""alerts"" WHERE  ""public"".""alerts"".""is_read"" = $4) SELECT (SELECT pg_catalog.count(*) FROM pgrst_source_count) AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, $6::text AS body, nullif(current_setting($7, $8), $9) AS response_headers, nullif(current_setting($10, $11), $12) AS response_status, $13 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",00:00:00.079494,0.1%,"1,932",00:00:00
SHOW transaction_read_only,00:00:00.062822,0.1%,"1,404",00:00:00
"WITH pgrst_source AS (SELECT pgrst_call.pgrst_scalar FROM (SELECT ""public"".""get_dashboard_kpis""() pgrst_scalar) pgrst_call) SELECT $3::bigint AS total_result_set, $4 AS page_total, coalesce(json_agg(_postgrest_t.pgrst_scalar)->$5, $6) AS body, nullif(current_setting($7, $8), $9) AS response_headers, nullif(current_setting($10, $11), $12) AS response_status, $13 AS response_inserted FROM (SELECT ""get_dashboard_kpis"".* FROM ""pgrst_source"" AS ""get_dashboard_kpis""   LIMIT $1 OFFSET $2) _postgrest_t",00:00:02.147071,3.3%,405,00:00:00
SELECT EXISTS (SELECT schema_migrations.* FROM schema_migrations AS schema_migrations WHERE version = $1),00:00:00.004647,0.0%,209,00:00:00
