name,table,columns,size,percent_used,index_scans,seq_scans,unused
public.employee_trainings_pkey,public.employee_trainings,id,16 kB,0%,0,0,t
public.idx_ec_cal_date,public.equipment_calibrations,calibration_date,16 kB,100%,4,0,f
public.part_batches_batch_number_key,public.part_batches,batch_number,16 kB,0%,0,0,t
public.idx_emp_train_record_id,public.employee_trainings,record_id,16 kB,0%,0,0,t
public.products_product_name_key,public.products,product_name,16 kB,100%,56,0,f
public.products_pkey,public.products,id,16 kB,100%,263,0,f
public.idx_training_programs_status,public.training_programs,status,16 kB,0%,0,0,t
public.training_programs_pkey,public.training_programs,id,16 kB,100%,56,0,f
public.idx_equipment_calibrations_calibration_date,public.equipment_calibrations,calibration_date,16 kB,0%,0,0,t
public.idx_wastage_logs_reference_id,public.wastage_logs,reference_id,16 kB,0%,0,0,t
public.idx_employee_health_records_employee_id,public.employee_health_records,employee_id,16 kB,100%,4,0,f
public.product_bom_pkey,public.product_bom,id,16 kB,0%,0,0,t
public.idx_employee_trainings_employee_id,public.employee_trainings,employee_id,16 kB,100%,15,0,f
public.idx_activity_log_created_at,public.activity_log,created_at,16 kB,0%,0,0,t
public.idx_equipment_repairs_equipment_id,public.equipment_repairs,equipment_id,16 kB,0%,0,0,t
public.raw_materials_pkey,public.raw_materials,id,16 kB,100%,156,0,f
public.employee_interviews_pkey,public.employee_interviews,id,16 kB,100%,3,0,f
public.idx_production_batches_created_at,public.production_batches,created_at,16 kB,100%,45,0,f
public.idx_pbp_production,public.production_batch_parts,production_batch_id,16 kB,100%,16,0,f
public.production_batch_parts_pkey,public.production_batch_parts,id,16 kB,0%,0,0,t
public.idx_equipment_calibrations_equipment_id,public.equipment_calibrations,equipment_id,16 kB,0%,0,0,t
public.idx_alerts_unread,public.alerts,"is_read,created_at",16 kB,0%,0,0,t
public.idx_raw_materials_type,public.raw_materials,material_type,16 kB,100%,3,0,f
public.vendors_pkey,public.vendors,id,16 kB,100%,187,0,f
public.idx_raw_materials_purchase_date,public.raw_materials,purchase_date,16 kB,100%,59,0,f
public.idx_equipment_equipment_id,public.equipment,equipment_id,16 kB,0%,0,0,t
public.idx_equipment_maintenance_equipment_id,public.equipment_maintenance,equipment_id,16 kB,0%,0,0,t
public.idx_activity_log_table_name,public.activity_log,table_name,16 kB,0%,0,0,t
public.employee_health_records_pkey,public.employee_health_records,id,16 kB,0%,0,0,t
public.production_plans_pkey,public.production_plans,id,16 kB,0%,0,0,t
public.inspection_records_pkey,public.inspection_records,id,16 kB,100%,1,0,f
public.app_settings_pkey,public.app_settings,id,16 kB,100%,28,0,f
public.idx_activity_log_record_id,public.activity_log,record_id,16 kB,0%,0,0,t
public.production_batches_batch_number_key,public.production_batches,batch_number,16 kB,100%,3,0,f
public.equipment_equipment_id_key,public.equipment,equipment_id,16 kB,0%,0,0,t
public.idx_other_items_category,public.other_items,category,16 kB,0%,0,0,t
public.idx_parts_part_name_lower,public.parts,lower(part_name),16 kB,0%,0,0,t
public.product_bom_product_id_part_id_key,public.product_bom,"product_id,part_id",16 kB,0%,0,0,t
public.idx_pbp_part,public.production_batch_parts,part_batch_id,16 kB,100%,149,0,f
public.equipment_maintenance_pkey,public.equipment_maintenance,id,16 kB,0%,0,0,t
public.equipment_pkey,public.equipment,id,16 kB,100%,63,0,f
public.idx_equipment_calibrations_calibration_status,public.equipment_calibrations,calibration_status,16 kB,0%,0,0,t
public.idx_bom_product,public.product_bom,product_id,16 kB,100%,100,0,f
public.idx_em_equipment,public.equipment_maintenance,equipment_id,16 kB,100%,32,0,f
public.idx_ea_equipment,public.equipment_adjustments,equipment_id,16 kB,100%,32,0,f
public.equipment_calibrations_pkey,public.equipment_calibrations,id,16 kB,0%,0,0,t
public.production_batches_pkey,public.production_batches,id,16 kB,100%,22,0,f
public.idx_raw_materials_batch,public.raw_materials,batch_number,16 kB,100%,10,0,f
public.idx_part_batches_created_at,public.part_batches,created_at,16 kB,0%,0,0,t
public.idx_employee_performance_evaluations_employee_id,public.employee_performance_evaluations,employee_id,16 kB,100%,28,0,f
public.idx_er_equipment,public.equipment_repairs,equipment_id,16 kB,100%,33,0,f
public.equipment_adjustments_pkey,public.equipment_adjustments,id,16 kB,0%,0,0,t
public.idx_production_batches_status,public.production_batches,status,16 kB,0%,0,0,t
public.idx_raw_materials_vendor,public.raw_materials,vendor_id,16 kB,0%,0,0,t
public.idx_raw_materials_blocked,public.raw_materials,is_blocked,16 kB,0%,0,0,t
public.idx_production_product,public.production_batches,product_id,16 kB,0%,0,0,t
public.idx_wastage_logs_level_ref,public.wastage_logs,"level,reference_id",16 kB,0%,0,0,t
public.idx_part_batches_rm_batch,public.part_batches,raw_material_batch_id,16 kB,100%,24,0,f
public.other_items_pkey,public.other_items,id,16 kB,0%,0,0,t
public.idx_ec_status,public.equipment_calibrations,calibration_status,16 kB,0%,0,0,t
public.alerts_pkey,public.alerts,id,16 kB,0%,0,0,t
public.idx_equipment_eq_id,public.equipment,equipment_id,16 kB,0%,0,0,t
public.idx_production_plans_product_date,public.production_plans,"product_id,planned_date",16 kB,0%,0,0,t
public.idx_equipment_adjustments_equipment_id,public.equipment_adjustments,equipment_id,16 kB,0%,0,0,t
public.equipment_repairs_pkey,public.equipment_repairs,id,16 kB,0%,0,0,t
public.employees_pkey,public.employees,id,16 kB,100%,1,0,f
