name,table_size,index_size,total_size,estimated_row_count,seq_scans
public.raw_materials,16 kB,128 kB,144 kB,0,1331
public.equipment_calibrations,16 kB,112 kB,128 kB,5,9
public.training_programs,64 kB,64 kB,128 kB,34,44
public.activity_log,48 kB,64 kB,112 kB,11,4
public.production_batches,16 kB,96 kB,112 kB,1,841
public.wastage_logs,16 kB,96 kB,112 kB,3,825
public.part_batches,16 kB,80 kB,96 kB,2,27
public.equipment,16 kB,64 kB,80 kB,2,69
public.production_plans,16 kB,64 kB,80 kB,0,0
public.production_batch_parts,8192 bytes,64 kB,72 kB,2,0
public.employee_trainings,16 kB,48 kB,64 kB,4,140
public.products,16 kB,48 kB,64 kB,0,407
public.other_items,16 kB,48 kB,64 kB,0,15
public.equipment_adjustments,16 kB,48 kB,64 kB,1,4
public.equipment_repairs,16 kB,48 kB,64 kB,2,4
public.equipment_maintenance,16 kB,48 kB,64 kB,1,4
public.employee_health_records,16 kB,48 kB,64 kB,1,6
public.product_bom,8192 bytes,48 kB,56 kB,0,0
public.parts,16 kB,32 kB,48 kB,0,1116
public.employees,16 kB,32 kB,48 kB,5,285
public.alerts,16 kB,32 kB,48 kB,2,7439
public.employee_performance_evaluations,16 kB,32 kB,48 kB,3,3
public.employee_interviews,16 kB,32 kB,48 kB,2,2
public.inspection_records,16 kB,16 kB,32 kB,1,13
public.app_settings,16 kB,16 kB,32 kB,0,0
public.inspection_form_templates,16 kB,16 kB,32 kB,1,45
public.vendors,16 kB,16 kB,32 kB,0,463
public.employee_interview_documents,8192 bytes,8192 bytes,16 kB,0,125
