name,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,rowcount,dead_rowcount,autovacuum_threshold,expect_autovacuum,autoanalyze_threshold,expect_autoanalyze
public.employee_health_records,"","","","",             1,             0,            50,no,            50,no
public.employee_trainings,"","","","",             3,             7,            51,no,            50,no
public.employees,"","","","",             1,             1,            50,no,            50,no
public.parts,"","","","",             2,             4,            50,no,            50,no
public.wastage_logs,"","","","",             9,             0,            52,no,            51,no
public.activity_log,"","","","",            -1,             0,            50,no,            50,no
public.alerts,"","","","",            -1,             0,            50,no,            50,no
public.app_settings,"","","","",            -1,             0,            50,no,            50,no
public.employee_interview_documents,"","","","",            -1,             0,            50,no,            50,no
public.employee_interviews,"","","","",            -1,             1,            50,no,            50,no
public.employee_performance_evaluations,"","","","",            -1,             0,            50,no,            50,no
public.equipment,"","","","",            -1,             2,            50,no,            50,no
public.equipment_adjustments,"","","","",            -1,             0,            50,no,            50,no
public.equipment_calibrations,"","","","",            -1,             0,            50,no,            50,no
public.equipment_maintenance,"","","","",            -1,             0,            50,no,            50,no
public.equipment_repairs,"","","","",            -1,             0,            50,no,            50,no
public.inspection_form_templates,"","","","",            -1,             0,            50,no,            50,no
public.inspection_records,"","","","",            -1,             1,            50,no,            50,no
public.other_items,"","","","",            -1,             0,            50,no,            50,no
public.part_batches,"","","","",            -1,             0,            50,no,            50,no
public.product_bom,"","","","",            -1,             0,            50,no,            50,no
public.production_batch_parts,"","","","",            -1,             0,            50,no,            50,no
public.production_batches,"","","","",            -1,             3,            50,no,            50,no
public.production_plans,"","","","",            -1,             0,            50,no,            50,no
public.products,"","","","",            -1,             0,            50,no,            50,no
public.raw_materials,"","","","",            -1,             2,            50,no,            50,no
public.training_programs,"","","","",            -1,             0,            50,no,            50,no
public.vendors,"","","","",            -1,             0,            50,no,            50,no
